Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;19434;MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control;journal;10575987, 15458601;48,894;Q1;134;3;12;559;1043;12;86;186,33;United States;Centers for Disease Control and Prevention (CDC);1990-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;71056;MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC;journal;15458636, 15460738;18,375;Q1;90;14;56;851;1452;55;37,11;60,79;United States;Centers for Disease Control and Prevention (CDC);2002-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
3;12137;Journal of Statistical Software;journal;15487660;17,569;Q1;115;69;265;2878;6630;265;10,3;41,71;United States;University of California at Los Angeles;1996-ongoing;"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
4;40944;Genome Biology;journal;1474760X, 14747596;9,867;Q1;207;229;803;12124;8933;709;12,16;52,94;United Kingdom;BioMed Central;2000-ongoing;"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
5;14204;Nucleic Acids Research;journal;03051048, 13624962;8,636;Q1;452;1169;4058;57749;45067;3975;11,14;49,4;United Kingdom;Oxford University Press;1974-ongoing;Genetics (Q1)
6;110092;MMWR. Morbidity and mortality weekly report;journal;01492195, 1545861X;7,695;Q1;182;363;1171;2144;8568;679;14,4;5,91;United States;US Department of Health and Human Services;1981-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
7;6200180159;World Psychiatry;journal;20515545, 17238617;7,559;Q1;70;99;279;2985;2271;106;24,03;30,15;United States;Wiley-Blackwell;2007-ongoing;"Psychiatric Mental Health (Q1); Psychiatry and Mental Health (Q1)"
8;24769;Materials Today;journal;13697021, 18734103;7,392;Q1;138;94;512;10020;3628;154;19,5;106,6;Netherlands;Elsevier BV;2002-ongoing;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
9;21100265444;The Lancet Global Health;journal;2214109X;7,367;Q1;53;326;842;5302;3755;204;16,37;16,26;United Kingdom;Elsevier BV;2013-ongoing;Medicine (miscellaneous) (Q1)
10;28677;Living Reviews in Relativity;journal;14338351;7,304;Q1;75;7;13;3063;256;13;24,2;437,57;Germany;Albert Einstein Institut;2000-ongoing;Physics and Astronomy (miscellaneous) (Q1)
11;6400153126;Theoretical Economics;journal;15557561;7,086;Q1;23;44;104;1352;251;104;2,52;30,73;United States;Wiley-Blackwell;2007-ongoing;Economics, Econometrics and Finance (miscellaneous) (Q1)
12;4700152228;Molecular Systems Biology;journal;17444292;7,04;Q1;127;65;191;3963;1501;171;9,58;60,97;United States;Wiley-Blackwell;2005-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
13;21100201068;Cell Reports;journal;22111247;6,635;Q1;108;1290;3056;64874;24499;2969;7,7;50,29;United States;Cell Press;2012-ongoing;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
14;144840;PLoS Medicine;journal;15491277, 15491676;6,626;Q1;197;236;716;9731;6477;600;9,39;41,23;United States;Public Library of Science;2004-ongoing;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
15;21100242814;eLife;journal;2050084X;6,617;Q1;93;1393;3751;83784;26122;3628;6,83;60,15;United Kingdom;eLife Sciences Publications;2012-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
16;19700173023;Living Reviews in Solar Physics;journal;16144961;6,57;Q1;42;7;14;2479;214;14;16;354,14;Germany;Max-Planck-Institut fur Sonnensystemforschung;2009-ongoing;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
17;21100201772;Physical Review X;journal;21603308;6,497;Q1;86;280;609;18225;8117;589;12,09;65,09;United States;American Physical Society;2011-ongoing;Physics and Astronomy (miscellaneous) (Q1)
18;21100797856;Journal of Extracellular Vesicles;journal;20013078;6,283;Q1;47;40;112;2549;1714;108;10,65;63,73;Sweden;Taylor and Francis Ltd.;2012-ongoing;"Cell Biology (Q1); Histology (Q1)"
19;21100457028;Science Advances;journal;23752548;6,267;Q1;72;905;1524;45091;19751;1510;12,53;49,82;United States;American Association for the Advancement of Science;2016-ongoing;Multidisciplinary (Q1)
20;19700182758;Nature Communications;journal;20411723;5,992;Q1;248;5664;11692;273530;141425;10983;11,8;48,29;United Kingdom;Nature Publishing Group;2010-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
21;21100804406;The Lancet Public Health;journal;24682667;5,493;Q1;17;156;155;2346;608;50;12,16;15,04;United Kingdom;Elsevier Limited;2016-ongoing;Public Health, Environmental and Occupational Health (Q1)
22;21100278313;Light: Science and Applications;journal;20477538;5,392;Q1;68;132;207;6034;2881;201;14,52;45,71;United Kingdom;Nature Publishing Group;2012-ongoing;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
23;21100284918;Earth System Science Data;journal;18663516, 18663508;5,229;Q1;38;128;133;8333;1285;133;9,99;65,1;Germany;Copernicus Publications;2013-ongoing;Earth and Planetary Sciences (miscellaneous) (Q1)
24;21100255526;Quantitative Economics;journal;17597323, 17597331;5,177;Q1;20;40;80;1838;150;80;1,7;45,95;United States;Wiley-Blackwell;2010-ongoing;Economics and Econometrics (Q1)
25;19700175140;Genome Medicine;journal;1756994X;5,084;Q1;66;102;387;4394;3076;324;10,47;43,08;United Kingdom;BioMed Central;2009-ongoing;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)"
26;19600166310;EMBO Molecular Medicine;journal;17574676, 17574684;5,033;Q1;90;120;369;6578;3190;322;10,28;54,82;United Kingdom;John Wiley & Sons Ltd.;2009-ongoing;Molecular Medicine (Q1)
27;21100470165;Advanced Science;journal;21983844;5,012;Q1;54;396;468;26111;6284;456;13,98;65,94;Germany;Wiley-VCH Verlag;2015-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemical Engineering (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
28;17269;Studies in Mycology;journal;1660616;4,982;Q1;81;19;51;1595;583;48;9;83,95;Netherlands;Westerdijk Fungal Biodiversity Institute;1996, 1998-2000, 2002-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1)"
29;21100824912;ACS Central Science;journal;23747951, 23747943;4,94;Q1;39;229;457;10309;3637;393;9,65;45,02;United States;American Chemical Society;2015-ongoing;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
30;21100407195;Optica;journal;23342536;4,914;Q1;56;234;687;10068;7028;501;13,94;43,03;United States;OSA Publishing;2014-ongoing;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
31;12977;PLoS Biology;journal;15449173, 15457885;4,783;Q1;234;426;833;20959;5941;763;7,62;49,2;United States;Public Library of Science;2003-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
32;21100420802;GigaScience;journal;2047217X;4,726;Q1;32;182;239;5613;1491;167;6,95;30,84;United Kingdom;Oxford University Press;2012-ongoing;"Computer Science Applications (Q1); Health Informatics (Q1)"
33;21100422153;SoftwareX;journal;23527110;4,539;Q1;10;77;98;1665;1130;97;2,14;21,62;Netherlands;Elsevier BV;2015-ongoing;"Computer Science Applications (Q1); Software (Q1)"
34;21100401152;Microbiome;journal;20492618;4,466;Q1;50;231;288;11723;2817;276;10,35;50,75;United Kingdom;BioMed Central;2013-ongoing;"Microbiology (Q1); Microbiology (medical) (Q1)"
35;19700177557;Mobile DNA;journal;17598753;4,407;Q1;27;37;68;2605;363;65;3,5;70,41;United Kingdom;BioMed Central;2010-ongoing;Molecular Biology (Q1)
36;28111;BMC Medicine;journal;17417015;4,099;Q1;108;242;747;10838;5501;611;8,41;44,79;United Kingdom;BioMed Central;2003-ongoing;Medicine (miscellaneous) (Q1)
37;13444;Journal of the Meteorological Society of Japan;journal;261165;4,086;Q1;73;66;112;2404;592;96;3,87;36,42;Japan;Meteorological Society of Japan/Nihon Kisho Gakkai;1974, 1977, 1981, 1983, 1990-ongoing;Atmospheric Science (Q1)
38;4000151808;PLoS Genetics;journal;15537390, 15537404;4,001;Q1;194;605;2159;38020;10858;2036;5,03;62,84;United States;Public Library of Science;2005-ongoing;"Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
39;5700191214;Molecular Neurodegeneration;journal;17501326;3,988;Q1;66;68;237;4654;1771;224;8,38;68,44;United Kingdom;BioMed Central;2006-ongoing;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)"
40;21100827946;npj Quantum Information;journal;20566387;3,929;Q1;18;5;59;272;499;56;9,32;54,4;United Kingdom;Nature Partner Journals;2015, 2017-ongoing;"Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1); Computer Science (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q1)"
41;21100853952;Cancer and Metabolism;journal;20493002;3,928;Q1;16;0;17;0;146;17;6,14;0;United Kingdom;BioMed Central Ltd.;2014-ongoing;"Cancer Research (Q1); Endocrinology, Diabetes and Metabolism (Q1); Oncology (Q1)"
42;4000151809;PLoS Pathogens;journal;15537374, 15537366;3,909;Q1;174;591;2117;36224;12818;2015;6,18;61,29;United States;Public Library of Science;2005-ongoing;"Genetics (Q1); Immunology (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)"
43;19700200838;Chemical Science;journal;20416520, 20416539;3,895;Q1;135;996;2787;58263;24852;2726;9,29;58,5;United Kingdom;Royal Society of Chemistry;2010-ongoing;Chemistry (miscellaneous) (Q1)
44;21872;Eurosurveillance;journal;15607917, 1025496X;3,876;Q1;90;208;794;4993;3991;629;7,37;24;France;European Centre for Disease Prevention and Control (ECDC);2001-ongoing;"Epidemiology (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Virology (Q1)"
45;32383;Cultural Anthropology;journal;8867356;3,86;Q1;65;35;106;1676;382;100;3,71;47,89;United States;American Anthropological Association;1996-ongoing;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1)"
46;19700188403;mBio;journal;21612129, 21507511;3,849;Q1;87;577;1452;28583;8584;1261;6,5;49,54;United States;American Society for Microbiology;2010-ongoing;"Microbiology (Q1); Virology (Q1)"
47;18391;Aging Cell;journal;14749726, 14749718;3,809;Q1;121;153;380;7145;2792;369;7,08;46,7;United Kingdom;Blackwell Publishing Inc.;2002-ongoing;"Aging (Q1); Cell Biology (Q1)"
48;21100248838;Stem Cell Reports;journal;22136711;3,698;Q1;55;274;685;11728;4105;665;5,6;42,8;United States;Cell Press;2013-ongoing;"Biochemistry (Q1); Cell Biology (Q1); Developmental Biology (Q1); Genetics (Q1)"
49;13096;BMC Biology;journal;17417007;3,628;Q1;90;151;369;8248;1845;310;6,45;54,62;United Kingdom;BioMed Central;2003-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Physiology (Q1); Plant Science (Q1); Structural Biology (Q1)"
50;89440;Genomics, Proteomics and Bioinformatics;journal;16720229;3,599;Q1;35;51;146;2719;983;115;7,15;53,31;Netherlands;Elsevier BV;2003-ongoing;"Biochemistry (Q1); Computational Mathematics (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
51;21100870279;Microbial genomics;journal;20575858;3,539;Q1;15;62;83;1316;436;79;5,52;21,23;United Kingdom;Microbiology Society;2016-ongoing;Medicine (miscellaneous) (Q1)
52;21100850798;npj Computational Materials;journal;20573960;3,462;Q1;16;80;90;4485;789;87;8,67;56,06;United Kingdom;Nature Publishing Group;2015-ongoing;"Computer Science Applications (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Modeling and Simulation (Q1)"
53;21100369734;Neurobiology of Stress;journal;23522895;3,359;Q1;23;45;88;5477;727;84;7,92;121,71;Netherlands;Elsevier BV;2015-ongoing;"Biochemistry (Q1); Cellular and Molecular Neuroscience (Q1); Endocrine and Autonomic Systems (Q1); Endocrinology (Q1); Molecular Biology (Q1); Physiology (Q1)"
54;21100224448;Molecular Metabolism;journal;22128778;3,343;Q1;43;174;375;9715;2178;342;6,13;55,83;Germany;Elsevier GmbH;2012-ongoing;"Cell Biology (Q1); Molecular Biology (Q1)"
55;21100466864;Journal for ImmunoTherapy of Cancer;journal;20511426;3,337;Q1;36;153;276;6314;1867;241;8,66;41,27;United Kingdom;BioMed Central;2014-ongoing;"Cancer Research (Q1); Immunology (Q1); Immunology and Allergy (Q1); Molecular Medicine (Q1); Oncology (Q1); Pharmacology (Q1)"
56;21100367530;Acta Neuropathologica Communications;journal;20515960;3,279;Q1;37;147;302;716;1735;289;5,93;4,87;United Kingdom;BioMed Central;2013-ongoing;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
57;12429;Molecular Cancer;journal;14764598;3,274;Q1;103;178;478;12184;4372;449;11,35;68,45;United Kingdom;BioMed Central;2002-ongoing;"Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1)"
58;19900191736;Conservation Letters;journal;1755263X;3,227;Q1;62;138;223;5438;1415;116;16,41;39,41;United States;John Wiley & Sons Inc.;2008, 2010-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)"
59;21100403505;Advances in Nonlinear Analysis;journal;2191950X, 21919496;3,215;Q1;17;52;66;1192;335;66;6,23;22,92;Germany;de Gruyter;2012-ongoing;Analysis (Q1)
60;21100197121;Geoscientific Model Development;journal;1991959X;3,164;Q1;59;247;666;17977;3684;666;5,23;72,78;Germany;Copernicus Gesellschaft mbH;2008, 2010-ongoing;"Earth and Planetary Sciences (miscellaneous) (Q1); Modeling and Simulation (Q1)"
61;19988;Persoonia;journal;315850;3,155;Q1;45;23;66;2300;461;66;6,65;100;Netherlands;National Herbarium Nederland/Leiden Branch;1996-2000, 2002-ongoing;"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
62;20228;Emerging Infectious Diseases;journal;10806040, 10806059;3,14;Q1;202;506;1637;9635;7262;1072;6,81;19,04;United States;Centers for Disease Control and Prevention (CDC);1995-ongoing;"Epidemiology (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1)"
63;21100386500;CMGH Cellular and Molecular Gastroenterology and Hepatology;journal;2352345X;3,138;Q1;21;120;260;5066;1060;156;6,85;42,22;United States;Elsevier Inc.;2015-ongoing;"Gastroenterology (Q1); Hepatology (Q1)"
64;25954;Haematologica;journal;15928721, 03906078;3,077;Q1;125;412;1057;12241;4333;592;7,53;29,71;Italy;Ferrata Storti Foundation;1947-ongoing;Hematology (Q1)
65;19700174932;Epigenetics and Chromatin;journal;17568935;3,064;Q1;40;75;186;4302;866;183;3,84;57,36;United Kingdom;BioMed Central;2009-ongoing;"Genetics (Q1); Molecular Biology (Q1)"
66;19700175037;Journal of the International AIDS Society;journal;17582652;3,053;Q1;50;136;485;5245;1976;437;4,19;38,57;Switzerland;International AIDS Society;2009-ongoing;"Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1)"
67;21100854855;Clinical and Translational Immunology;journal;20500068;3,032;Q1;12;29;45;1697;327;40;8,18;58,52;United Kingdom;John Wiley & Sons Inc.;2017-ongoing;Nursing (miscellaneous) (Q1)
68;11700154363;Cryosphere;journal;19940416, 19940424;3,016;Q1;63;232;530;14430;2778;529;4,8;62,2;Germany;Copernicus Group;2007-ongoing;"Earth-Surface Processes (Q1); Water Science and Technology (Q1)"
69;21100451321;Scientific data;journal;20524463;3,007;Q1;35;323;416;10029;2668;371;6,46;31,05;United Kingdom;Nature Publishing Group;2014-ongoing;"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
70;21100850723;mSystems;journal;23795077;2,979;Q1;19;86;144;3613;873;139;6,28;42,01;United States;American Society for Microbiology;2016-ongoing;"Biochemistry (Q1); Computer Science Applications (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Microbiology (Q1); Modeling and Simulation (Q1); Molecular Biology (Q1); Physiology (Q1)"
71;14875;International Journal of Behavioral Nutrition and Physical Activity;journal;14795868;2,967;Q1;95;129;473;6687;3224;463;6,39;51,84;United Kingdom;BioMed Central;2004-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1)"
72;17900156736;Journal of Hematology and Oncology;journal;17568722;2,96;Q1;60;143;448;9186;3328;424;8,71;64,24;United Kingdom;BioMed Central;2008-ongoing;"Cancer Research (Q1); Hematology (Q1); Molecular Biology (Q1); Oncology (Q1)"
73;4000151810;PLoS Computational Biology;journal;15537358, 1553734X;2,949;Q1;148;577;1852;33177;8070;1754;4,38;57,5;United States;Public Library of Science;2005-ongoing;"Cellular and Molecular Neuroscience (Q1); Computational Theory and Mathematics (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Modeling and Simulation (Q1); Molecular Biology (Q1)"
74;12091;Atmospheric Chemistry and Physics;journal;16807324, 16807316;2,938;Q1;174;964;2481;69928;15177;2468;5,63;72,54;Germany;Copernicus GmbH;2001-ongoing;Atmospheric Science (Q1)
75;21003;Environmental Health Perspectives;journal;916765;2,938;Q1;249;188;985;6060;6320;764;7,48;32,23;United States;US Department of Health and Human Services;1972-ongoing;"Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1)"
76;21100867475;npj Breast Cancer;journal;23744677;2,916;Q1;11;37;62;1266;332;59;6,23;34,22;United Kingdom;Nature Publishing Group;2016-ongoing;"Oncology (Q1); Pharmacology (medical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
77;23845;Journal of Cardiovascular Magnetic Resonance;journal;1532429X, 10976647;2,896;Q1;78;90;337;2885;1566;332;4,38;32,06;United Kingdom;BioMed Central;1999-ongoing;"Cardiology and Cardiovascular Medicine (Q1); Family Practice (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
78;16592;Plant Biotechnology Journal;journal;14677644, 14677652;2,876;Q1;96;196;468;11809;3211;443;7,11;60,25;United Kingdom;Blackwell Publishing Inc.;2004-ongoing;"Agronomy and Crop Science (Q1); Biotechnology (Q1); Plant Science (Q1)"
79;28764;Breast Cancer Research;journal;1465542X, 14655411;2,874;Q1;132;156;414;6178;2419;380;5,74;39,6;United Kingdom;BioMed Central;1999-ongoing;"Cancer Research (Q1); Oncology (Q1)"
80;5700191210;Implementation Science;journal;17485908;2,872;Q1;78;153;488;8023;2665;475;4,74;52,44;United Kingdom;BioMed Central;2006-ongoing;"Health Informatics (Q1); Health Policy (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
81;21100197181;NPG Asia Materials;journal;18844057, 18844049;2,87;Q1;57;94;220;4827;1577;202;7,71;51,35;United States;Nature Publishing Group;2009-ongoing;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Modeling and Simulation (Q1)"
82;21100819064;Cell Discovery;journal;20565968;2,855;Q1;15;67;135;3080;585;126;4,65;45,97;United Kingdom;Nature Publishing Group;2015-ongoing;"Biochemistry (Q1); Cell Biology (Q1); Genetics (Q1); Molecular Biology (Q1)"
83;21100369815;EBioMedicine;journal;23523964;2,847;Q1;37;495;1238;19689;4894;764;6,49;39,78;Netherlands;Elsevier BV;2014-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
84;21100205926;Blood Cancer Journal;journal;20445385;2,82;Q1;37;126;380;3620;1473;206;6,51;28,73;United States;Nature Publishing Group;2011-ongoing;"Hematology (Q1); Oncology (Q1)"
85;19700175011;Application of Clinical Genetics;journal;1178704X;2,745;Q1;24;23;58;718;288;57;3,67;31,22;New Zealand;Dove Medical Press Ltd;2008-ongoing;"Genetics (Q1); Genetics (clinical) (Q1)"
86;5200152632;Environmental Research Letters;journal;17489326;2,71;Q1;97;573;1215;33213;7391;1172;5,98;57,96;United Kingdom;Institute of Physics Publishing;2006-ongoing;"Environmental Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
87;20912;Environment International;journal;1604120;2,693;Q1;157;595;872;36692;7467;825;8,17;61,67;United Kingdom;Elsevier Ltd.;1976-ongoing;Environmental Science (miscellaneous) (Q1)
88;19700187601;Developmental Cognitive Neuroscience;journal;18789293;2,689;Q1;47;129;233;10335;1240;219;5,58;80,12;Netherlands;Elsevier BV;2011-ongoing;Cognitive Neuroscience (Q1)
89;5800207508;Molecular Oncology;journal;15747891, 18780261;2,672;Q1;71;139;401;6924;2260;390;6;49,81;Netherlands;John Wiley and Sons Inc.;2007-ongoing;"Cancer Research (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Medicine (Q1); Oncology (Q1)"
90;11900154404;PLoS Neglected Tropical Diseases;journal;19352727, 19352735;2,669;Q1;110;811;2674;35548;11522;2541;4,4;43,83;United States;Public Library of Science;2007-ongoing;"Infectious Diseases (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
91;21100406867;IUCrJ;journal;20522525;2,628;Q1;30;98;231;3968;977;185;4,68;40,49;United Kingdom;International Union of Crystallography;2014-ongoing;"Biochemistry (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
92;21100773739;Materials Research Letters;journal;21663831;2,627;Q1;29;78;121;2880;818;121;7,28;36,92;United Kingdom;Taylor and Francis Ltd.;2013-ongoing;Materials Science (miscellaneous) (Q1)
93;21100310070;Biology of Mood and Anxiety Disorders;journal;20455380;2,56;Q1;13;0;4;0;31;4;0;0;United Kingdom;BioMed Central;2011, 2013-2015;"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
94;21100206244;Open Biology;journal;20462441;2,549;Q1;40;95;342;8094;1314;335;3,83;85,2;United Kingdom;The Royal Society;2011-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Neuroscience (miscellaneous) (Q1)"
95;29914;Critical Care;journal;1466609X, 13648535;2,54;Q1;146;424;1225;10929;6047;898;6,7;25,78;United Kingdom;BioMed Central;1998-ongoing;Critical Care and Intensive Care Medicine (Q1)
96;21100850730;npj Vaccines;journal;20590105;2,527;Q1;8;55;52;2792;239;48;4,98;50,76;United Kingdom;Nature Publishing Group;2016-ongoing;"Immunology (Q1); Infectious Diseases (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
97;19700177555;Molecular Autism;journal;20402392;2,526;Q1;44;67;193;4031;1172;185;5,7;60,16;United Kingdom;BioMed Central;2010-ongoing;"Developmental Biology (Q1); Developmental Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
98;21100394188;Biomolecules;journal;2218273X;2,525;Q1;37;182;292;10911;1658;285;4,65;59,95;Switzerland;Multidisciplinary Digital Publishing Institute (MDPI);2014-ongoing;"Biochemistry (Q1); Molecular Biology (Q1)"
99;21100823470;Journal of Materiomics;journal;23528478, 23528486;2,525;Q1;18;55;105;2838;833;103;6,68;51,6;China;Chinese Ceramic Society;2015-ongoing;"Electronic, Optical and Magnetic Materials (Q1); Metals and Alloys (Q1); Surfaces, Coatings and Films (Q1)"
100;19700175052;Clinical Epidemiology;journal;11791349;2,523;Q1;49;163;224;6076;964;211;3,2;37,28;New Zealand;Dove Medical Press Ltd;2010-ongoing;Epidemiology (Q1)
101;19900191866;Translational Psychiatry;journal;21583188;2,518;Q1;65;284;792;17324;4409;773;5,49;61;United Kingdom;Nature Publishing Group;2011-ongoing;"Biological Psychiatry (Q1); Cellular and Molecular Neuroscience (Q1); Psychiatry and Mental Health (Q1)"
102;21100246515;Journal of the American Heart Association;journal;20479980;2,517;Q1;60;910;1933;33991;8451;1780;4,54;37,35;United Kingdom;Wiley-Blackwell;2012-ongoing;Cardiology and Cardiovascular Medicine (Q1)
103;21100826277;Frontiers in Cell and Developmental Biology;journal;2296634X;2,515;Q1;31;166;359;16350;1722;330;5,18;98,49;Switzerland;Frontiers Media S.A.;2015-ongoing;"Cell Biology (Q1); Developmental Biology (Q1)"
104;21100823147;Annals of Clinical and Translational Neurology;journal;23289503;2,502;Q1;30;162;228;6002;1053;210;4,87;37,05;United States;John Wiley and Sons Inc.;2014-ongoing;"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
105;21100218107;Journal of Advances in Modeling Earth Systems;journal;19422466;2,492;Q1;38;163;388;10507;1457;383;3,48;64,46;United States;Wiley-Blackwell;2011-ongoing;"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Chemistry (Q1); Global and Planetary Change (Q1)"
106;21100852120;npj Biofilms and Microbiomes;journal;20555008;2,474;Q1;13;29;75;1794;467;68;6,53;61,86;United Kingdom;Nature Publishing Group;2015-ongoing;"Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1); Microbiology (Q1)"
107;21100852132;npj Genomic Medicine;journal;20567944;2,461;Q1;11;35;71;1449;283;65;4,35;41,4;United Kingdom;Nature Publishing Group;2016-ongoing;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
108;21100858657;The Lancet Planetary Health;journal;25425196;2,46;Q1;10;140;105;2343;289;27;10,7;16,74;Netherlands;Elsevier BV;2017-ongoing;"Health Policy (Q1); Health (social science) (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
109;21100403234;Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring;journal;23528729;2,428;Q1;20;88;200;3827;1030;184;5,28;43,49;Netherlands;Elsevier BV;2015-ongoing;"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
110;19700173006;Clinical Epigenetics;journal;18687083, 18687075;2,426;Q1;39;162;397;7569;2191;377;5,43;46,72;Germany;BioMed Central;2010-ongoing;"Developmental Biology (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
